X,Y,OBJECTID,NAME,ADDRESS,ORIG_ADDRE,PIN,LANDNO,ORDINANCE,EFF_DATE,SE_ANNO_CAD_DATA,PHOTO,DOCUMENT
1258878.3748758,247283.515728816,2605,Louisa Building,5220 20th Ave NW,5220 20th Ave NW,2767703400,12,113424,1987/05/11 00:00:00+00,,LouisaBldg4DON.jpg,louisa-building-designation-nomination.pdf
1275695.12503488,246348.031051233,2606,University Heights Elementary School,5031 University Way NE,5031 University Way NE,8816400900,14,125216,,,UnivHeightsElementary2DON.jpg,university-heights-elementary-school-designation.pdf
1266852.62500338,242530.874971643,2607,B.F. Day School,3921 Linden Ave N,3921 Linden Ave N,1931301145,23,0,,,BFDaySchool3DON.jpg,bf-day-school-designation-nomination.pdf
1266578.87489472,240877.124998316,2608,Fremont Hotel,3425 Fremont Ave N,3421-3429 Fremont Ave N,1972203160,25,107993,1979/02/13 00:00:00+00,,FremontBldg1DON.jpg,fremont-hotel-designation-nomination-data-sheet.pdf
1266653.12507431,239924.34376739,2609,Fremont Bridge,Fremont Ave N / N 34th St,Fremont Ave N over Lake Washington Ship Canal, ,27,110347,1981/12/28 00:00:00+00,,FremontBr3DON.jpg,fremont-bridge-nomination.pdf
1267266.75015938,239690.593578726,2610,"George Washington Memorial ""Aurora"" Bridge",Aurora Ave N / N 34th St,Aurora Ave N over Lake Washington Ship Canal, ,28,110345,1981/12/28 00:00:00+00,,AuroraBR2DON.jpg,george-wa-memorial-bridge-designation-nomination.pdf
1269716.3748533,244769.3124239,2611,Wallingford Police Station / Fire Station #11,1629 N 45th St,1629 N 45th St,0480000005,17,111888,1984/09/10 00:00:00+00,,WallingfordFirePolice3DON.jpg,DesRpt_Wallingford_Police.pdf 
1270251.12509614,244653.874990731,2612,Wallingford Center/Interlake,4416 Wallingford Ave N,4416 Wallingford Ave N,4083300140,18,0,,,WallingfordCenter2DON.jpg,wallingford-center-intake-school-designation-nomination.pdf
1271160.24991831,245779.515455976,2613,Good Shepherd Center,4647 Sunnyside Ave N,4647 Sunnyside Ave N,0825049008,15,111882,1984/09/10 00:00:00+00,,GoodShepard3DON.jpg,good-shepherd-center-designation-nomination.pdf
1273063.37504905,243208.937591895,2614,Latona School,401 NE 42nd St,401 NE 42nd St,4206901020,21,0,,,latona3DON.jpg, 
1275518.96298563,243518.265057221,2615,University Methodist Episcopal Church and Parsonage,4142 Brooklyn Ave NE,4142 Brooklyn Ave NE,1142001500,19,110350,1981/12/28 00:00:00+00,,UniversityMethodist4DON.jpg, 
1264887.12499739,235442.09387365,2616,Bethany Presbyterian Church,1818 Queen Anne Ave N,1818 Queen Anne Ave N,4232901075,43,112801,1986/04/21 00:00:00+00,,BethanyChurch2DON.jpg,bethany-presbyterian-designation-nomination.pdf
1281060.4998028,244760.031274483,2617,Street Clock:  Benton's Jewelers,3216 NE 45th St,3216 NE 45th St,2436200896,20,0,,,BentonsClockDON.jpg,street-clock-designation-nomination.pdf
1266026.12501597,237974.70330973,2618,N Queen Anne Dr Bridge,Queen Anne Dr / Warren Ave N,over Wolf Creek Canyon, ,35,110343,1981/12/28 00:00:00+00,,NQADrBridge1DON.jpg, 
1266797.25011414,236372.265569732,2619,Hay School,2100 4th Ave N,2100 4th Ave N,1689400145,42,0,,,HaySchool1DON.jpg,hay-school-nomination.pdf
1272914.50001872,238431.187632978,2620,Nelson/Steinbrueck House,2622 Franklin Ave E,2622 Franklin Ave E,1959700205,32,111023,1983/02/22 00:00:00+00,,NelsonSteinbrueckHouse2DON.jpg,nelson-steinbrueck-designation-nomination.pdf
1272962.74992222,237993.484440148,2621,Seward School,2515 Boylston Ave E,2515 Boylston Ave E,1959700005,33,0,,,SewardSchool1DON.jpg,seward-school-nomination.pdf
1273545.50006905,238725.156205148,2622,Harvard Mansion,2706 Harvard Ave E,2706 Harvard Ave E,1959700875,31,116053,1992/01/27 00:00:00+00,,HarvardMansion1DON.jpg,harvard-mansion-designation.pdf
1273729.75002864,234498.515708312,2623,P.P. Ferry House/Old Deanery of St Mark's Cathedral,1531 10th Ave E,1531 10th Ave E,2025049119,55,108213,1979/05/14 00:00:00+00,,PPFerryHouse1DON.jpg,pp-ferry-designation-nomination.pdf
1273746.49999514,234285.296974644,2624,St Nicholas/Lakeside School,1501 10th Ave E,1501 10th Ave E,2025049052,56,111881,1984/09/10 00:00:00+00,,StNicholasSchool2DON.jpg,st-nicholas-lakeside-school-designation-nomination.pdf
1263083.12499647,234246.203220814,2625,West Queen Anne Elementary School,515 W Galer St,515 W Galer St,9270158888,47,106146,1977/01/17 00:00:00+00,,WestQAElementary2DON.jpg,west-queen-anne-elementary-school-data-sheet.pdf
1262694.49978948,233652.00001289,2626,Stuart/Balcom House,619 W Comstock St,619 W Comstock St,1732800660,193,111886,1984/09/10 00:00:00+00,,StuartBalcom2DON.jpg,stuart-balcom-house-designation-nomination.pdf
1262781.87494281,233888.015616983,2627,C. H. Black House / Gardens,615 W Lee St,615 W Lee St,1732801125,48,115036,1990/04/16 00:00:00+00,,CHBlackHouse2DON.jpg,ch-black-house-designation-nomination.pdf
1262676.49982548,233543.687565476,2628,Parsons House,618 W Highland Dr,618 W Highland Dr,1732800630,51,109317,1980/09/02 00:00:00+00,,ParsonsHouse2DON.jpg,parsons-house-designation-nomination.pdf
1262599.37497972,232816.046960399,2629,Chelsea Apartment Building,620 W Olympic Pl,620 W Olympic Pl,3879901915,53,107755,1978/10/23 00:00:00+00,,ChelseaApts2DON.jpg,chelsea-apartment-designation.pdf
